id,filename,width,height
anaheim_city_hall,anaheim_city_hall.png,163,119
anaheim_convention_center,anaheim_convention_center.png,257,146
anaheim_packing_district,anaheim_packing_district.png,128,98
angel_stadium,angel_stadium.png,211,167
art_information_center,art_information_center.png,123,131
artic,artic.png,241,193
center_street_promenade,center_street_promenade.png,202,122
disney_california_adventure,disney_california_adventure.png,296,173
disneyland,disneyland.png,241,206
downtown_disney_district,downtown_disney_district.png,206,191
gardenwalk,gardenwalk.png,135,117
honda_center,honda_center.png,260,161
the_outlets_at_orange,the_outlets_at_orange.png,169,171
westfield_mainplace,westfield_mainplace.png,174,171
attraction_icon,attraction_icon.png,32.33,32.66
hotel_icon,hotel_icon.png,32.33,32.66
restaurant_icon,restaurant_icon.png,32.33,32.66
